team,playerName,position,salary,birth,birthYear,height,weight,elementarySchool,middleSchool,highSchool,nationality,teamCareer,joinYear,joinTeam
넥센,송지만,외야수,10000,1973-03-02,1973,178,85,서흥초,동산중,동산고,한국,인하대-한화,1996,한화
LG,스나이더,외야수,150000,1982-05-25,1982,192,96,,,,미국,,,
SK,스캇,외야수,250000,1978-06-25,1978,182,100,,,,미국,,,
롯데,신원재,외야수,2400,1991-07-17,1991,185,90,남도초,경상중,대구고,한국,영남대,2014,롯데
KIA,신종길,외야수,10000,1983-12-31,1983,183,85,대성초,무등중,광주제일고,한국,(동신대)-롯데-한화,2002,롯데
SK,안치용,외야수,5500,1979-02-23,1979,183,93,미성초,신일중,신일고,한국,연세대-LG,2002,LG
LG,양영동,외야수,5000,1983-07-16,1983,173,70,수유초,청원중,청원고,한국,홍익대-삼성-경찰,2008,경찰
넥센,오윤,외야수,7300,1981-09-08,1981,185,105,합덕초,온양중,북일고,한국,현대-상무-현대,2000,현대
NC,오정복,외야수,5300,1986-10-13,1986,177,75,삼성초,내동중,용마고,한국,인하대-삼성-NC-경찰,,
두산,오현근,외야수,2600,1985-09-12,1985,183,75,언북초,성남중,성남고,한국,고려대-SK-두산-경찰,2008,SK
삼성,우동균,외야수,5500,1989-12-03,1989,175,68,칠성초(삼성리틀),대구중,상원고,한국,(경일대)-삼성-경찰,2008,삼성
KIA,유재혁,외야수,2700,1992-03-29,1992,182,70,신도초,상인천중,제물포고,한국,,2011,KIA
넥센,유한준,외야수,11500,1981-07-01,1981,186,97,신흥초,부천중,유신고,한국,동국대-현대-우리-상무,2004,현대
KIA,이경록,외야수,2800,1989-01-18,1989,184,95,인천서림초,동산중,동산고,한국,대불대-삼성,2011,삼성
KIA,이대형,외야수,30000,1983-07-19,1983,184,78,광주서림초,무등중,광주제일고,한국,LG,,
KIA,이동훈,외야수,2600,1989-04-28,1989,176,72,동막초,대헌중,동산고,한국,동국대,2013,KIA
SK,이명기,외야수,4000,1987-12-26,1987,183,80,서화초,상인천중,인천고,한국,,2006,SK
LG,이병규,외야수,80000,1974-10-25,1974,185,85,청구초,서대문중,장충고,한국,단국대,1997,LG
LG,이병규,외야수,9300,1983-10-09,1983,178,90,율하초,경상중,경북고,한국,한양대,,
삼성,이상훈,외야수,4000,1987-05-04,1987,171,75,칠성초,경복중,경북고,한국,성균관대-한화,2010,한화
넥센,이성열,외야수,11000,1984-07-13,1984,185,102,순천북초,이수중,효천고,한국,LG-두산,2003,LG
롯데,이승화,외야수,6000,1982-05-04,1982,182,85,수영초,부산중,부산상고,한국,롯데-상무,2001,롯데
한화,이양기,외야수,5200,1981-01-31,1981,184,90,상인천초,동인천중,동산고,한국,탐라대-한화-상무,2003,한화
삼성,이영욱,외야수,7000,1985-10-11,1985,180,85,삼광초,덕수중,중앙고,한국,동국대-삼성-상무,,
한화,이용규,외야수,70000,1985-08-26,1985,175,70,성동초,잠신중,덕수정보고,한국,LG-KIA,2004,LG
NC,이종욱,외야수,50000,1980-06-18,1980,176,78,면목초,홍은중,선린인터넷고,한국,영남대-현대-상무-두산,2003,현대
KIA,이종환,외야수,3600,1986-05-08,1986,175,90,태안초,태안중,북일고,한국,단국대-KIA-상무,2010,KIA
KIA,이준호,외야수,4000,1987-09-07,1987,183,86,군산중앙초,군산남중,군산상고,한국,고려대,2011,KIA
NC,이지우,외야수,2400,1994-05-22,1994,183,84,율하초,경복중,경북고,한국,,2014,NC
LG,이진영,외야수,60000,1980-06-15,1980,185,90,군산초,군산남중,군산상고,한국,쌍방울-SK,1999,쌍방울
넥센,이택근,외야수,70000,1980-07-10,1980,183,89,배정초,대천중,경남상고,한국,고려대-현대-우리-히어로즈-LG,2003,현대
KIA,이호신,외야수,2800,1984-05-19,1984,176,72,사당초,잠신중,휘문고,한국,경희대-KIA-상무,2007,KIA
LG,임재철,외야수,15000,1976-04-08,1976,182,88,천안남산초,천안북중,북일고,한국,경성대-롯데-삼성-한화-두산,1999,롯데
SK,임훈,외야수,7500,1985-07-17,1985,186,86,수유초,신일중,신일고,한국,롯데,2004,SK
두산,장민석,외야수,12500,1982-05-09,1982,180,73,감천초,대동중,경남고,한국,현대-우리-히어로즈-넥센,2001,현대
한화,장운호,외야수,2700,1994-02-20,1994,183,85,중대초,배명중,배재고,한국,,,
롯데,전준우,외야수,16000,1986-02-25,1986,184,91,흥무초,경주중,경주고,한국,건국대,2008,롯데
두산,정수빈,외야수,13700,1990-10-07,1990,175,70,신곡초,수원북중,유신고,한국,,2009,두산
LG,정의윤,외야수,12000,1986-07-25,1986,185,87,신곡초,대신중,부산고,한국,LG-상무,,
SK,정진기,외야수,2900,1992-10-10,1992,185,84,화순초,화순중,화순고,한국,,2011,SK
한화,정현석,외야수,8000,1984-03-01,1984,182,93,유천초,한밭중,대전고,한국,경희대-한화-경찰,2008,한화
삼성,정형식,외야수,12000,1991-01-28,1991,178,73,화정초,진흥중,진흥고,한국,,2009,삼성
SK,조동화,외야수,12000,1981-03-22,1981,175,74,공주중동초,공주중,공주고,한국,(대불대)-SK-상무,2001,SK
롯데,조홍석,외야수,2800,1990-02-23,1990,175,70,화정초,영남중,배명고,한국,원광대,2013,롯데
NC,최재원,외야수,2500,1990-07-30,1990,183,81,무학초,마산중,마산고,한국,연세대,2013,NC
한화,최진행,외야수,17000,1985-08-17,1985,188,100,서울동원초,청량중,덕수정보고,한국,(우송대)-한화-경찰,2004,한화
삼성,최형우,외야수,45000,1983-12-16,1983,179,86,진북초,전주동중,전주고,한국,삼성-경찰,2002,삼성
한화,추승우,외야수,6000,1979-09-24,1979,187,74,공연초(하천리틀),청주중,청주기공고,한국,성균관대-LG-상무-LG,2002,LG
한화,피에,외야수,250000,1985-02-08,1985,188,86,,,,도미니카,,,
롯데,하준호,외야수,2600,1989-04-29,1989,174,78,하단초,대동중,경남고,한국,(영남사이버대),,
SK,한동민,외야수,6500,1989-08-09,1989,190,95,중앙초(해운대리틀),대천중,경남고,한국,경성대,2012,SK
삼성,허승민,외야수,2600,1986-02-28,1986,177,75,수창초,충장중,동성고,한국,건국대-삼성-상무,2008,삼성
롯데,황동채,외야수,3500,1983-07-04,1983,180,73,중앙초,개성중,부산고,한국,성균관대-롯데-경찰,2006,롯데
LG,황선일,외야수,2800,1987-02-17,1987,186,81,중앙초,군산중,군산상고,한국,LG-상무,,
NC,마낙길,외야수,2600,1989-06-22,1989,178,75,현산초(일산리틀),언북중,충암고,한국,경희대,2012,NC
두산,정수환,외야수,2400,1989-05-02,1989,192,108,가동초,덕수중,덕수고,한국,,,
