team,playerName,position,salary,birth,birthYear,height,weight,elementarySchool,middleSchool,highSchool,nationality,teamCareer,joinYear,joinTeam
SK,신윤호,투수,4000,1975-05-15,1975,184,100,청구초,충암중,충암고,한국,LG,,
LG,신재웅,투수,8000,1982-03-28,1982,181,85,사파초,신월중,마산고,한국,동의대,2005,LG
LG,신정락,투수,10000,1987-05-13,1987,177,78,천안남산초,천안북중,북일고,한국,고려대,2010,LG
KIA,신창호,투수,3700,1987-03-18,1987,180,93,남정초,중앙중,경동고,한국,LG,2006,LG
롯데,심규범,투수,2400,1991-09-04,1991,180,84,창도초,청원중,청원고,한국,경희대,2014,롯데
KIA,심동섭,투수,5000,1991-09-20,1991,185,85,광주화정초,충장중,광주제일고,한국,,2010,KIA
롯데,심수창,투수,5500,1981-02-09,1981,185,85,고명초,이수중,배명고,한국,한양대-LG-넥센,2004,LG
삼성,심창민,투수,11000,1993-02-01,1993,185,86,동삼초,경남중,경남고,한국,(대구사이버대),2011,삼성
삼성,안규현,투수,2400,1995-11-30,1995,184,79,갈산초,양천중,덕수고,한국,,2014,삼성
한화,안승민,투수,7000,1991-06-21,1991,182,95,공주초,공주중,공주고,한국,,2010,한화
한화,안영명,투수,11500,1984-11-19,1984,183,90,남산초,천안북중,북일고,한국,(대전대)-한화-KIA,,
삼성,안지만,투수,41000,1983-10-01,1983,180,83,칠성초,경운중,대구상고,한국,(방송통신대),2002,삼성
한화,앨버스,투수,7.00E+05,1985-10-06,1985,185,88,,,,캐나다,,,
KIA,양현종,투수,12000,1988-03-01,1988,183,85,학강초,동성중,동성고,한국,,2007,KIA
KIA,어센시오,투수,250000,1983-05-30,1983,189,82,,,,도미니카,,,
SK,엄정욱,투수,7000,1981-06-18,1981,191,94,수유초,중앙중,중앙고,한국,,2000,SK
NC,에릭,투수,3.00E+05,1983-03-26,1983,185,104,,,,미국,,,
SK,여건욱,투수,3000,1986-09-16,1986,185,95,광주서림초,광주동성중,광주제일고,한국,고려대-SK-경찰,2009,SK
두산,여정호,투수,2800,1984-05-29,1984,184,87,동일초,부산중,부산상고,한국,동국대,2014,두산
SK,오수호,투수,2400,1990-04-20,1990,175,93,중앙초,대천중,부산고,한국,,,
넥센,오재영,투수,9000,1985-03-31,1985,184,95,청원초,청원중,청원고,한국,현대-상무,2004,현대
두산,오현택,투수,8000,1985-07-17,1985,180,73,이수초,이수중,장충고,한국,원광대-두산-상무,2009,두산
롯데,옥스프링,투수,250000,1977-05-13,1977,183,90,,,,호주,,,
LG,우규민,투수,18000,1985-01-21,1985,184,75,성동초,휘문중,휘문고,한국,LG-경찰,2003,LG
SK,울프,투수,250000,1982-10-18,1982,182,82,,,,미국,,,
두산,원용묵,투수,2700,1986-06-25,1986,187,96,강남초,성남중,청원고,한국,(대불대)-두산-상무,2006,두산
NC,원종현,투수,2400,1987-07-31,1987,182,83,군산중앙초,군산중,군산상고,한국,LG-경찰-LG,2006,LG
NC,웨버,투수,250000,1984-09-28,1984,189,93,,,,미국,,,
KIA,유동훈,투수,17500,1977-02-12,1977,183,87,청구초,홍은중,장충고,한국,성균관대-해태,1999,해태
롯데,유먼,투수,360000,1979-10-11,1979,195,100,,,,미국,,,
SK,유영하,투수,2400,1993-10-10,1993,180,85,정지초(안산리틀),안산중앙중,충훈고,한국,,2014,SK
LG,유원상,투수,7500,1986-06-17,1986,187,93,둔촌초,잠신중,북일고,한국,(목원대)-한화,2006,한화
한화,유창식,투수,6400,1992-05-15,1992,186,100,광주화정초,무등중,광주제일고,한국,,2011,한화
